# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
4.339370884295733255e+00 1.020068697101498056e+00 1.041145832115337289e+00 1.187529256532977343e+09 2.539252724125137917e+01 4.830380055769093461e-01 4.882378471824109223e-01 8.540547995387181013e-01 6.822030543912562806e+00 -6.189403855763151441e-01 -7.718093671653389887e-01 -1.209079000000000087e+04
4.282755592235644393e+00 4.378675582989715487e+00 -5.835515185129076521e-01 1.187529256483690023e+09 4.989487251912243693e+01 6.844510525393208145e-01 -8.275283277611675814e-01 2.009359493711549316e+00 8.022162238596243000e+00 4.464220579218424745e-01 -7.924102473528156221e-01 -1.208888999999999942e+04
1.817621979661511622e+00 4.410570824631464326e+00 -3.872574093154136365e-01 1.187529256488381624e+09 4.921970856139237327e+01 9.783207283498226436e-01 9.845500727258786888e-01 2.769090074548048008e+00 8.502364664169020259e+00 3.601051954904386787e-01 6.906871091700005350e-01 -1.208806999999999971e+04
4.342409084910776151e+00 4.829222394021968512e+00 -7.047041497622701378e-01 1.187529256491395473e+09 2.988893019634313220e+01 3.741278058808374385e-01 9.698091141775465607e-01 6.422881709779112436e-01 7.408444664159900661e+00 -2.581236038696318458e-01 -2.382071598411139024e-01 -1.208759000000000015e+04
5.957112972670408624e+00 4.216438253610889753e+00 -3.982234179704922661e-01 1.187529256480452061e+09 5.294810811263885597e+01 6.560073677806281811e-01 1.123559795321180388e-01 3.016219193916167551e-01 7.665013559096987450e+00 6.494880492973866826e-01 -5.321823124843572117e-01 -1.208706999999999971e+04
1.757480564960805625e+00 4.262671919559580580e+00 -4.745796551244983452e-01 1.187529256486871958e+09 3.970107647673921747e+01 8.177717541172251359e-01 9.307064360250794088e-01 2.432220353988934658e+00 8.055338204077305164e+00 -4.061397057812352607e-01 -1.661206154197109597e-01 -1.208703000000000065e+04
3.956613490611672557e+00 4.955474643623679398e+00 -8.309467643843921891e-01 1.187529256490284204e+09 4.283651155041827963e+01 7.035611087836286526e-01 9.299576244588713125e-01 4.614379119419391162e-01 8.361780664949833408e+00 5.564100811373039468e-01 -3.058484624037335897e-01 -1.208689999999999964e+04
1.764666617009219562e-02 9.961603814793595912e-01 8.913663556297962698e-01 1.187529256527707100e+09 5.411549032445307006e+01 7.889535682969162078e-01 8.097179836183394652e-01 2.448151245189511271e-01 8.436035646410108058e+00 4.928122546400307002e-01 7.995494065564563435e-01 -1.208629999999999927e+04
6.164986371433582413e+00 4.460138354662769977e+00 -6.562835622612956943e-01 1.187529256485106945e+09 4.004138817318092691e+01 4.483036732777762046e-01 -9.997676962268753353e-01 2.541213064294044477e-01 7.964129926983201102e+00 -2.199067571021724177e-01 2.362540849064363180e-01 -1.208622999999999956e+04
7.297084421773625262e-01 4.025245337510872545e+00 -7.273745919037206964e-02 1.187529256487071276e+09 4.884275100517209012e+01 4.699857825546255308e-01 -9.912746241075583997e-01 1.918807929278447455e+00 7.928978208502081237e+00 -3.484810418889895678e-02 8.617105841963830226e-01 -1.208617000000000007e+04
1.653132757581116774e+00 4.282165499543810760e+00 -3.870383398797765384e-01 1.187529256492185831e+09 4.000087074249205443e+01 6.582303664008654076e-01 -6.381554633434176615e-01 2.748164866087595026e+00 7.997155063712806822e+00 8.551259588702390113e-01 -7.529763401224760511e-01 -1.208572999999999956e+04
1.594340431137475367e-01 1.557118767419919614e+00 1.041893069521999449e+00 1.187529256526911259e+09 4.009645384539534518e+01 7.386217569899615754e-01 -6.973084116044830916e-01 1.999737361952628634e+00 7.923116667792392320e+00 5.053395230435242524e-03 1.150679830569150686e-01 -1.208545999999999913e+04
1.067205800162212004e+00 6.630633725153100011e-01 2.068836350096875665e-01 1.187529256526317835e+09 3.593254875478459809e+01 7.330489752080919796e-01 9.554307228017182574e-01 2.974702364671021115e+00 8.021719543308330813e+00 -3.236530866158439657e-01 -6.060341611919801974e-02 -1.208517000000000007e+04
5.668910381248808861e+00 4.380839684025311875e+00 -5.712596946834321843e-01 1.187529256482328176e+09 5.668483776125186324e+01 6.056115507017060251e-01 7.877846335600039440e-01 3.289952200766496082e-01 8.150543893111663607e+00 9.137446743062784815e-01 -7.960133285941716208e-01 -1.208490999999999985e+04
6.186848137109049794e+00 4.049069953048622494e+00 -1.332513028177000625e-01 1.187529256488487244e+09 5.731255650369020316e+01 7.371978104233204432e-01 -5.151859191698335838e-01 3.223337633738633801e-01 7.892484051247408594e+00 9.315263392144281784e-01 -7.992405651424601409e-02 -1.208478000000000065e+04
5.682501190055489815e+00 4.599052042267765650e+00 -6.474527769812614686e-01 1.187529256485239506e+09 4.583013994087341558e+01 6.905212140390207809e-01 -4.946275811459313054e-01 1.954548797061148591e+00 8.037861733905758754e+00 4.245473376855091185e-02 6.507956005880344286e-01 -1.208477000000000044e+04
6.066115535167608819e+00 1.318880980033751094e+00 1.023063928210353746e+00 1.187529256526998043e+09 3.569888634849949938e+01 3.288006501500217449e-01 9.468229489399228038e-01 6.594799534363925408e-01 7.957387776181260364e+00 2.015303592893344375e-01 9.395333240537188935e-02 -1.208472999999999956e+04
9.160411903451146642e-01 4.582491975158171194e+00 -7.421054492735671415e-01 1.187529256482856989e+09 5.539259039512685945e+01 5.894133295360305391e-01 7.039986152546391374e-01 1.897877297894811743e+00 8.064734043825348309e+00 2.494729863919722956e-01 7.306388338935269067e-01 -1.208457999999999993e+04
4.678833518520351120e+00 6.741823063397115456e-01 3.323889615228188266e-01 1.187529256528795004e+09 4.444559969671653477e+01 7.081648423515547464e-01 -5.560726813770159316e-01 1.837524140803142414e+00 7.717902200813981040e+00 4.512508208818603594e-01 7.621776367728477775e-01 -1.208448999999999978e+04
1.776438715869132157e+00 4.722235236974703376e+00 -7.298919789528500734e-01 1.187529256488070011e+09 4.533992765986458551e+01 7.797718109125834074e-01 -8.863326859262915525e-01 9.816371711306934866e-01 8.317004669389710614e+00 8.747092057126799602e-01 -7.023399409343290545e-01 -1.208438999999999942e+04
1.521337986527017350e+00 4.084097168243142839e+00 -7.702030601101482292e-03 1.187529256494342327e+09 3.751624744528051991e+01 7.919857569379656903e-01 -9.404640474990770549e-02 6.985369966079532644e-02 6.567079950497662466e+00 -3.882196638854616966e-01 5.021721270729631037e-01 -1.208421999999999935e+04
