# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
4.723918828076138610e+00 4.505721504780544784e+00 -1.089365826008712457e+00 1.128678900424722910e+09 2.100703968922757525e+01 3.847545019653836884e-01 8.059819034534437820e-01 3.126507572838276072e+00 7.920671247060218079e+00 4.748981382547179941e-01 3.386350225208134557e-01 -1.439910000000000036e+04
2.767434481407816428e-03 2.286681158733063324e+00 -6.051764276406976784e-01 1.128678900432307482e+09 2.571171201716019894e+01 5.794587849338593832e-01 -6.761999507790130703e-01 2.803978306797076492e+00 7.250680749993109409e+00 3.568737005419242436e-01 5.912871904755890862e-01 -1.439873999999999978e+04
1.275895698387292665e+00 4.682039269653268221e+00 -9.402506525276690397e-01 1.128678900424293756e+09 2.724531472432785861e+01 7.553782223407715657e-01 -8.982819138546656035e-01 2.773261154525228367e-01 8.247618748308550352e+00 7.585841856066721789e-01 7.530452426237941310e-01 -1.439412999999999920e+04
1.891324849527519447e+00 4.263673626242431958e+00 -6.861604409400692273e-01 1.128678900416912794e+09 2.035591702182265195e+01 2.570251923491545520e-01 -3.443535886731012852e-01 6.585472682361703800e-01 7.244692417940850504e+00 3.367152617300340767e-01 1.511824505098718630e-01 -1.439407999999999993e+04
1.211183418519402588e+00 3.796972233102618333e+00 -1.118339971704576247e-01 1.128678900427539825e+09 2.114208262890626955e+01 6.745291131615713809e-01 -7.976973224669759999e-01 2.252195882120988923e-01 7.627913636532901442e+00 3.370190749716284184e-01 3.934524248925919121e-01 -1.439395000000000073e+04
1.551272991922874933e+00 5.601056859840972457e+00 -1.163800597758911648e+00 1.128678900427960396e+09 2.120084978204740267e+01 1.906340629076409554e-01 6.471951659978376625e-01 1.130248647200769119e+00 7.321762675245921947e+00 6.510929880404312531e-01 2.170608463962121759e-01 -1.439387999999999920e+04
2.279845030858988153e+00 5.596628688856576161e+00 -1.087843234449547669e+00 1.128678900422854424e+09 2.894016967486984981e+01 2.581493866474378618e-01 9.237171499400066432e-01 1.295895127053533713e+00 7.839605050012409038e+00 7.629749162311978417e-01 4.088994278197970456e-01 -1.439278000000000065e+04
5.297180576810664121e+00 2.190738163555465690e+00 -5.079350120690168113e-01 1.128678900430219650e+09 3.108571557734029156e+01 2.583627944178413793e-01 -9.783514029498975306e-01 1.302114234714403684e+00 7.201630812199959486e+00 7.174228965321377549e-01 3.099675037814623481e-03 -1.439270000000000073e+04
6.520919733595016421e-01 4.114405134090066696e+00 -6.490109770990214466e-01 1.128678900420644999e+09 2.027233441228358046e+01 2.828795974941526459e-01 -9.782738053339090634e-01 1.003217591004448517e+00 7.847799205776001763e+00 3.833396280976116843e-01 4.546510588243726225e-01 -1.439237999999999920e+04
5.247119561820201561e+00 5.444775339819814874e+00 -1.012678206741913112e+00 1.128678900425825119e+09 2.863797692039539911e+01 5.007732907536569522e-01 -7.483163197201748718e-01 1.908880709195624137e+00 7.652528096046530059e+00 7.338342657844486583e-01 6.776418233181196182e-01 -1.439226000000000022e+04
5.251149848233955808e+00 6.155604309508110106e+00 -1.012144849396489077e+00 1.128678900434139490e+09 1.964331900822507393e+01 5.383918985498179488e-01 9.130934971128812361e-01 1.205869413988821082e+00 7.285687636047237348e+00 2.118938554679835606e-01 5.136980088093355823e-01 -1.439207999999999993e+04
2.552424175501151193e+00 4.527517551580051425e+00 -8.270318287946128999e-01 1.128678900416242123e+09 2.408756453730707037e+01 1.739765761955393841e-01 -5.991903037623651507e-01 9.999618212935629247e-01 7.929976871931596172e+00 7.332487107695215833e-01 7.149044975340210772e-01 -1.439198999999999978e+04
4.969197553061363237e+00 3.025814254746321375e+00 9.151735713972422026e-01 1.128678900442984104e+09 2.461555081690404023e+01 2.113843738858210142e-01 -7.057697286523766378e-01 2.136141435969247659e+00 6.735923809699485787e+00 5.802778354253037563e-01 2.590595941350939957e-01 -1.439195000000000073e+04
