# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
5.485955773267656710e+00 3.311343080020419105e+00 8.262260672719655419e-02 1.135136350636509657e+09 9.685907505438311915e+00 6.786503858806670619e-01 -7.675540969827359117e-01 2.158980270910968891e+00 6.207940690761287961e+00 1.473951062490495012e-01 1.978038671079844490e-01 -1.433565999999999985e+04
5.221470619898778587e+00 3.468835588795037506e+00 -2.240934703358369862e-01 1.135136350631714582e+09 9.880400402351797950e+00 3.346221733010273369e-01 6.721620669892893751e-01 1.770093925893683195e-01 6.235346007750682595e+00 3.971127895060779234e-01 6.159207636573570399e-01 -1.433539999999999964e+04
3.132258536568701235e+00 3.603596335125065053e+00 -3.959241782748816330e-01 1.135136350627884388e+09 9.739619901679054337e+00 2.995346459727001864e-01 -8.022774920402027110e-01 3.480114724240783719e-01 6.700231249252734500e+00 3.127793390861277056e-01 6.828224905339449480e-01 -1.433539999999999964e+04
3.198003456668896849e+00 3.203042473364086096e+00 1.704260350501579924e-01 1.135136350636011362e+09 9.712272793166885521e+00 1.471332534851860219e-01 -6.860971761797332036e-01 2.220403092745725004e+00 5.826616427243592966e+00 5.653933238843037445e-01 2.174447834824036474e-01 -1.433500000000000000e+04
4.184868024556870902e-01 5.108055445127633654e+00 -1.174424758463062268e+00 1.135136350632134914e+09 9.692344493540757000e+00 2.782266006904514088e-01 -9.767472943039388067e-01 2.800510846367990636e-01 6.662575028706179125e+00 2.867983604657614594e-01 7.586981724941951333e-01 -1.433404999999999927e+04
2.505996506495189902e+00 5.714886671220558156e+00 -1.009236808979565136e+00 1.135136350637547493e+09 9.696911042570137695e+00 5.012543586546326368e-01 -8.795196967936825816e-01 1.201905580952552732e+00 5.672836398313294559e+00 7.088832701087280364e-02 5.665823331064593349e-01 -1.433404000000000087e+04
3.705445596552304544e+00 5.628263706145000711e+00 -1.142308625314995663e+00 1.135136350636434555e+09 9.837430176660737047e+00 8.453212086712965645e-01 -8.001572445653265531e-01 1.509859812778557187e+00 5.834194641965711803e+00 4.428637146671793312e-02 4.548442364996915233e-01 -1.433396999999999935e+04
2.121186816511369255e-01 3.897027219050258395e+00 -8.808001300339923789e-01 1.135136350626628876e+09 9.788525781939743098e+00 2.077472502363189588e-01 -8.764465815401104587e-01 1.103192462172653876e+00 6.511357457592658271e+00 5.392967705455131711e-01 2.634849045324252209e-02 -1.433393000000000029e+04
2.891280427302896250e+00 3.345278589491835763e+00 1.381777600422582908e-01 1.135136350637105703e+09 9.860785594151494138e+00 2.555413905543182373e-01 9.101747856854567331e-01 1.851706845959915526e+00 6.251267418020638900e+00 5.066097423574720260e-01 3.309990654730434190e-01 -1.433385000000000036e+04
5.312575958677080656e+00 3.504503831385064050e+00 -3.449691591694939441e-01 1.135136350629156351e+09 9.882129695029036043e+00 1.726404525754647312e-01 -7.745765951604988153e-01 2.547638558724266478e+00 6.394502936749232980e+00 6.164094677779455855e-01 1.065492811102246723e-01 -1.433384000000000015e+04
1.361983242144670703e+00 4.279452343026912686e+00 -1.178236011838002195e+00 1.135136350629486084e+09 9.674162567377779354e+00 2.953202833413142714e-01 9.010383496026211914e-01 2.065772070399938709e+00 6.551872604807158496e+00 3.663339513507643530e-01 2.802314982887735839e-01 -1.433379999999999927e+04
3.400045503197221208e+00 4.280458325303644784e+00 -1.070485077123390472e+00 1.135136350630294085e+09 9.821464517920498238e+00 3.809346512921232275e-01 -8.957221470719389789e-01 1.732292211929607140e+00 6.404355378427741385e+00 3.731046848013500616e-01 4.105151890583252916e-01 -1.433372999999999956e+04
4.869652802960106719e+00 3.857633738589858918e+00 -9.819753523219236779e-01 1.135136350622827530e+09 9.942852087780758907e+00 7.083177565096202000e-02 -9.758445801719615176e-01 3.100723135947358156e+00 6.708168094350735799e+00 7.223167553453456735e-01 5.243304747797440379e-01 -1.433368000000000029e+04
3.903402233050334402e+00 3.732801042183028883e+00 -5.883516972243284515e-01 1.135136350626678944e+09 9.960087581976882376e+00 1.200930449764793934e-01 8.751651433434921579e-01 2.277290446070403096e+00 6.637451990904652988e+00 6.814265632826347341e-01 3.132024901663222338e-01 -1.433360000000000036e+04
1.872589833323327069e+00 3.600801692870941650e+00 -4.106908398166270735e-01 1.135136350629418373e+09 9.898534110218829341e+00 9.098671370622803956e-01 -9.598680182562645546e-01 3.783439700556424645e-01 6.475488614765628981e+00 2.456599753508482697e-01 3.509599118950028629e-01 -1.433345999999999913e+04
2.171354589478841357e-01 3.397296812131702648e+00 -1.497670479929238962e-01 1.135136350632858753e+09 9.812367209230174581e+00 7.310000402468643799e-01 -9.910909162468714007e-01 2.159556729546118881e+00 6.725982524672454055e+00 3.171257979656674775e-01 1.868069923073295557e-01 -1.433336000000000058e+04
4.587800261064437279e+00 3.565004058577487367e+00 -4.759717230147481049e-01 1.135136350626893044e+09 9.651924338483256705e+00 3.462961959724273342e-01 7.506594789419891445e-01 1.824405074394564341e+00 6.370585821472793953e+00 1.468972135703019433e-01 7.529200526417195727e-01 -1.433328000000000065e+04
1.833738173353531620e+00 4.102417748600901248e+00 -1.003867125039336061e+00 1.135136350625046015e+09 9.660575484732181195e+00 1.474407402921835142e-01 -9.841080295241670939e-01 1.324378363659928670e+00 6.454747401545902541e+00 5.022414654068730888e-01 4.678670612152806552e-01 -1.433320999999999913e+04
2.431596259723597164e+00 4.634761916671989113e+00 -1.169393128575585195e+00 1.135136350630703688e+09 9.604907203983817254e+00 4.662802439843936608e-01 9.020059944215016445e-01 1.096627234000309814e+00 6.445534715873548315e+00 2.128526836242050635e-01 1.785370065136601403e-01 -1.433304000000000087e+04
4.331719162133019552e+00 4.216914002098176795e+00 -1.061743258078675645e+00 1.135136350627854347e+09 9.876173925930958220e+00 2.440253504152930242e-01 8.055365633007658399e-01 2.527606013166736609e+00 6.381152727755242893e+00 5.308617856482101827e-01 1.841409015581081665e-01 -1.433280999999999949e+04
9.539697032683017719e-01 3.651454027150144110e+00 -6.011041009351498765e-01 1.135136350628267288e+09 9.801583458703499119e+00 5.614919505680771028e-01 2.918148297002558511e-01 9.318036736145032251e-01 6.186355228222745417e+00 2.819312090690969108e-01 2.414644780694319148e-01 -1.433279999999999927e+04
5.549458573968086839e+00 4.708337704219323072e+00 -1.198696608807025221e+00 1.135136350630679131e+09 9.747618001513391306e+00 2.284515821426313931e-01 9.953762619745163409e-01 2.146795676889967641e-01 6.670372659922264802e+00 4.527242781470453559e-01 3.253216108366425163e-01 -1.433270000000000073e+04
2.534377894177381130e+00 3.515720728503537451e+00 -4.063186280549356821e-01 1.135136350629577160e+09 9.698146499385812191e+00 7.719940006564244284e-01 9.824577145410091639e-01 2.795408764550561642e+00 6.752849379953000941e+00 1.208386290446523820e-01 2.918257490262459175e-01 -1.433265999999999985e+04
3.044792587300338305e+00 5.897066717851060069e+00 -1.160628565197095785e+00 1.135136350637008429e+09 9.905443740271085318e+00 1.377645466756062531e-01 9.311820752395857381e-01 1.020374565337551998e+00 6.075947961184251511e+00 6.152942619336225771e-01 5.969246096227477372e-01 -1.433259000000000015e+04
3.119486209860653947e+00 3.999195674661276456e+00 -1.027280392954553090e+00 1.135136350627794981e+09 9.702936849202458802e+00 3.440896281633628595e-01 8.498548144124489223e-01 5.666752140894446566e-01 6.775070874325805015e+00 2.840614090970058903e-01 4.484927764633598879e-01 -1.433254000000000087e+04
5.192942525288929190e+00 3.556958317929459490e+00 -4.322814309721576542e-01 1.135136350627936840e+09 9.751494174657530323e+00 3.048592508580847960e-01 -8.754757904318624107e-01 2.481519001931048685e+00 6.778848873081698478e+00 4.273979067621323513e-01 1.206487579326688542e-01 -1.433229000000000087e+04
3.454903870329516291e+00 3.793439884496887071e+00 -6.861841596321633929e-01 1.135136350625244141e+09 9.976339196119980102e+00 1.111935821504107386e-01 8.574169203808944539e-01 1.878396878161382455e+00 6.670319181426189736e+00 6.873055438373519843e-01 2.716239316047718289e-01 -1.433225000000000000e+04
4.549326545852485637e+00 3.757917630550848820e+00 -7.245409500302988359e-01 1.135136350626929760e+09 9.720515991785164900e+00 4.206085931820739976e-01 6.388694940549869417e-01 9.039475991448224501e-02 6.455982052820859352e+00 1.343752225410295431e-01 7.968176357833999246e-01 -1.433213999999999942e+04
5.941890759792350707e+00 3.983082132101506634e+00 -8.387563558368249517e-01 1.135136350624989033e+09 9.662099490387522138e+00 3.069836777425282159e-01 -4.995354629456266182e-01 3.502370312216640524e-01 6.167250785113076006e+00 2.616652162126805181e-01 6.406299313150372043e-01 -1.433207999999999993e+04
3.769709499789469564e+00 4.026810180795113325e+00 -9.549902787442154928e-01 1.135136350628210306e+09 9.739252237894788777e+00 5.906251651860806584e-01 6.996428469187128130e-01 1.409037407982544510e+00 6.419867852205754843e+00 1.765497836304447399e-01 4.237195360769637764e-01 -1.433201000000000022e+04
9.751400752187414089e-02 3.819014297612307818e+00 -7.099818740594582289e-01 1.135136350627735138e+09 9.860139463238372315e+00 5.283950095633394017e-01 -9.931629707584207489e-01 2.259698919287671970e+00 6.350067347195404999e+00 1.768646447327743843e-01 6.522389097085630194e-01 -1.433196999999999935e+04
5.164594696269944940e+00 4.718161491187080614e+00 -1.158642175580344214e+00 1.135136350630340576e+09 9.632072138761335722e+00 4.934898386093197198e-01 -9.276430613681531101e-01 1.604640390322803922e+00 6.520019648838060178e+00 2.350477191680921674e-01 1.918029459371887319e-02 -1.433195999999999913e+04
4.199320468016163765e+00 5.830735459361856776e+00 -1.222968519102768159e+00 1.135136350636582613e+09 9.663891077140364771e+00 5.290241103067475636e-01 9.352044436147998185e-01 1.179837022623039022e+00 6.047478838799800194e+00 1.553311440804306665e-01 2.508588000712992927e-01 -1.433194000000000051e+04
3.856786108470199537e+00 4.271951820726323845e+00 -1.042729107255805587e+00 1.135136350629120350e+09 9.780466310235047089e+00 5.243595671558086702e-01 -9.431237036748165714e-01 2.943868874063733543e+00 6.788996738566602573e+00 2.635486379707009941e-01 2.594391047297568975e-01 -1.433193000000000029e+04
2.351619131805358531e+00 3.954423713726874734e+00 -8.669205175117322693e-01 1.135136350626081467e+09 9.794678733865929132e+00 1.373904744186212057e-01 9.148223750781021568e-01 2.009772033101349387e-01 6.595102585634191605e+00 5.957680589198882659e-01 4.557549216255749602e-01 -1.433187000000000080e+04
2.427595175043101516e+00 3.496421170415640045e+00 -1.977095827153153851e-01 1.135136350630577326e+09 9.723929896580401078e+00 2.041835256134882370e-01 8.893036804406986295e-01 1.376609806980801931e+00 6.306710126085180335e+00 4.708305622586084205e-01 5.432924374984512417e-01 -1.433187000000000080e+04
4.083314609528748029e+00 5.642804117858742252e+00 -1.225058268705738751e+00 1.135136350635627985e+09 9.828825713694032018e+00 4.918800182981572511e-01 7.670442347830151997e-01 2.156694458364947220e+00 5.980140583121042575e+00 2.986261737185092469e-01 3.109990398507304077e-01 -1.433177000000000044e+04
2.395283791893830561e+00 3.460457137438999631e+00 -1.374473861635157057e-01 1.135136350631233692e+09 9.817187843360084543e+00 2.993806157914563615e-01 8.949150504564673536e-01 1.812053792351897119e+00 6.284864719734438943e+00 3.642831732956821611e-01 6.764420907376929026e-01 -1.433176000000000022e+04
3.691043339901462161e+00 3.784745788004710398e+00 -6.542403635035251019e-01 1.135136350625154018e+09 9.776830802323303260e+00 1.209516523265308924e-01 8.753681924268861270e-01 1.394190977150000954e+00 6.646970721063558685e+00 6.162339606631278555e-01 3.099080584551083817e-01 -1.433175000000000000e+04
5.792190758761968539e+00 3.791955326886702338e+00 -7.734334491185022031e-01 1.135136350626945496e+09 9.906227849707297750e+00 3.596448447375297230e-01 -9.719210025101049366e-01 2.247576412828094394e+00 6.523898687749936975e+00 4.217744601339025179e-01 3.345937186437435984e-01 -1.433170000000000073e+04
7.374051131634479228e-01 4.064834373147445667e+00 -1.111686814728548134e+00 1.135136350629117489e+09 9.774147553822640333e+00 8.042616623476015469e-01 8.955168885064330730e-01 1.171893393953641782e+00 6.500801316635055116e+00 2.492804712245064447e-01 1.815553878773045748e-01 -1.433159000000000015e+04
1.204813407978650996e+00 4.655490978178108641e+00 -1.142950705369850439e+00 1.135136350631176233e+09 9.787433075546630334e+00 2.937303627861856947e-01 -9.176667824487720893e-01 2.476448554060336205e-01 6.618311768776141690e+00 4.774072905537562472e-01 3.663269399939730886e-02 -1.433153000000000065e+04
2.644655353845544621e+00 4.150318953018033774e+00 -1.110079766478318852e+00 1.135136350628925800e+09 9.708297880811356251e+00 7.227606076953321246e-01 -7.222292018718718953e-01 2.099130374641590357e+00 6.531050024281875643e+00 1.304659021338463835e-02 4.186060049010958406e-01 -1.433146999999999935e+04
4.011295911537851033e+00 3.476963645022255633e+00 -2.408528489489636382e-01 1.135136350628013849e+09 9.778301222570352280e+00 1.978050067353155361e-01 7.913801352440003045e-01 1.822947742280234928e+00 6.390139489770040093e+00 4.736839839023053722e-01 5.093000553353863591e-01 -1.433142000000000007e+04
1.829682394992873107e+00 4.262570525241867969e+00 -1.143023116160620800e+00 1.135136350629665613e+09 9.703386689880328930e+00 7.320287816368816758e-01 -7.760607514319257660e-01 9.277122749939944457e-01 6.563965603322808207e+00 2.785190076304984164e-01 4.992983140410770133e-03 -1.433140999999999985e+04
5.295572440087036092e+00 3.657609687907208418e+00 -5.684147782253864412e-01 1.135136350625998020e+09 9.754202287185245623e+00 2.636541696074123364e-01 -9.186848015293593850e-01 2.018640402545524293e-01 6.456051801138444901e+00 3.798913320334794119e-01 5.089729403559027920e-01 -1.433137000000000080e+04
5.403839086277140602e+00 3.732302696658279739e+00 -6.642159581934509172e-01 1.135136350626663446e+09 9.722357836441144485e+00 5.119317912946707017e-01 6.738998310248509593e-01 2.271484366590166726e+00 6.179638691547800100e+00 2.242020216588776482e-01 3.213240123320288411e-01 -1.433125000000000000e+04
