# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
2.323554279782361620e-01 2.222655961646218703e+00 6.448668105699723041e-01 1.180922494499936342e+09 8.444130257434514064e+00 3.268961199605593393e-01 -5.022944394158785908e-01 2.137559102966125391e+00 5.813541080895438640e+00 2.605496791720441907e-01 -2.119431318402883457e-01 -5.835661000000000058e+04
2.085102230314039851e+00 1.202125089071322872e+00 1.398140762126022452e+00 1.180922494498438597e+09 8.549187356190556031e+00 3.709377256487729202e-01 9.719791633685290755e-01 3.250113782278327701e-01 6.174325299095678510e+00 1.546957170471663923e-01 4.921946179604206884e-01 -5.835654000000000087e+04
4.835426119812711754e+00 2.293534490837868312e+00 7.326511779919068212e-01 1.180922494503058910e+09 8.600597844073798015e+00 1.948628093855595544e-01 -4.940651232235671042e-01 2.371433517903607235e+00 5.859038644087727121e+00 5.807483527404149193e-01 -7.718093630954114825e-01 -5.835636000000000058e+04
1.445277315670544072e+00 2.004742942370508541e+00 1.209442198787366918e+00 1.180922494501029730e+09 8.641936551328003091e+00 1.938142736179446768e-01 -8.294837525569166425e-01 1.690439998195723659e+00 6.064700895538241099e+00 5.785379405709610845e-01 -6.032110146352984703e-01 -5.835633000000000175e+04
5.213348745392684336e+00 1.920036400791987896e+00 2.057030116120280305e-01 1.180922494494297504e+09 8.660612335859859456e+00 2.902770945744416187e-01 -8.980652034971825515e-01 2.495544065081130913e+00 5.938504198502933207e+00 2.883491047830852860e-01 6.816332035353943608e-01 -5.835623999999999796e+04
3.019557786700858948e+00 2.300956762476945361e+00 8.328519383281550725e-01 1.180922494503355026e+09 8.520006463534425478e+00 2.416097853921608807e-01 -9.256101250770985001e-01 5.943410820581170873e-01 6.307212415124147320e+00 4.408744054756486008e-01 -3.197938524639194480e-01 -5.835612999999999738e+04
4.668017395318679874e+00 2.115368589501489538e+00 6.479183405888964131e-01 1.180922494501042604e+09 8.686277476295680700e+00 2.269812640638067813e-01 -7.093532303392845462e-01 1.698878436141648685e+00 5.820961588708841283e+00 5.907259029613567414e-01 -7.303972575729258399e-01 -5.835612999999999738e+04
4.624030158390450396e+00 2.109845248177475430e+00 6.538540009869928671e-01 1.180922494501135588e+09 8.677013371417334753e+00 2.351046106098927668e-01 -6.809088633760100873e-01 1.589804242489093022e+00 5.794001070591085600e+00 5.800159875404964360e-01 -7.007747329178350970e-01 -5.835584999999999854e+04
4.204903797417184563e+00 2.294920455839501550e+00 7.913480177394223158e-01 1.180922494501859426e+09 8.688339298598522831e+00 1.474556298794265086e-01 -7.150913326464800601e-01 2.978625929870181377e+00 5.977903903831093047e+00 5.556538626601503772e-01 2.275734268053161702e-01 -5.835569999999999709e+04
3.570158004451053912e+00 2.291569998390381002e+00 7.665175999521401939e-01 1.180922494503571272e+09 8.622928958004163036e+00 3.561004385520619153e-01 8.069904649276209430e-01 7.043027815170015415e-01 6.138233396251852270e+00 2.879607622689749902e-01 2.727327860517254621e-01 -5.835568000000000029e+04
6.345482588830304582e-01 2.244215218712928728e+00 9.980780462280439691e-01 1.180922494503218651e+09 8.615884928581854396e+00 2.460399477988365335e-01 8.916926964904087205e-01 3.012930444852772283e+00 6.081474198477224924e+00 3.981365930044516444e-01 2.638082250710748755e-01 -5.835548999999999796e+04
5.100481757155919560e+00 2.130034667156268213e+00 6.465662098289541859e-01 1.180922494501090288e+09 8.632089771544471546e+00 2.460362601003514005e-01 -5.257659150455363806e-01 2.243003494205822790e+00 5.773923371047456676e+00 5.093822754486773130e-01 -4.163885528250677037e-01 -5.835547000000000116e+04
5.789538492766381772e+00 2.163882816600553038e+00 9.137804457492920696e-01 1.180922494500676394e+09 8.631867095824762970e+00 2.366827941940354008e-01 1.156349667286457328e-01 1.084937347879085523e-01 5.549291431968256028e+00 3.162807434200314294e-01 9.032412352867933425e-01 -5.835540000000000146e+04
1.235637567570703643e+00 2.185130156702720594e+00 2.999332476437231443e-01 1.180922494498186588e+09 8.487684741270481226e+00 2.809980648169319029e-01 -9.987580724556017753e-01 2.259490188805836297e+00 5.997601883314725768e+00 4.475433663210474089e-01 -6.609639702277804174e-01 -5.835540000000000146e+04
2.234028138316388024e+00 2.258576229604440044e+00 6.691648435187435018e-01 1.180922494501371384e+09 8.596278954165196495e+00 2.543692776916184894e-01 -6.432229160573448290e-01 3.069688311557914773e+00 5.782416886924353960e+00 4.129578084115692049e-01 -3.158751862068398530e-02 -5.835526000000000204e+04
3.239733879156257323e+00 2.226267450717876795e+00 7.501675929046054403e-01 1.180922494502041101e+09 8.537998069627757758e+00 2.030200405521558893e-01 -7.592764950310870731e-01 1.280785184029217705e+00 5.905718493019743498e+00 5.185790950567477076e-01 -6.619122431521400340e-01 -5.835520999999999913e+04
1.930579327837943060e+00 2.180987230337706251e+00 8.077366886967314308e-01 1.180922494501020908e+09 8.558485756304451186e+00 1.986652560521925681e-01 9.721875308252926340e-01 6.552927875104830324e-01 6.287919953903853276e+00 3.940676172650473541e-01 5.144313618657798681e-01 -5.835513999999999942e+04
2.528065555441258994e+00 2.192605098478712655e+00 1.178701724740184087e+00 1.180922494501266718e+09 8.543734937789061235e+00 2.050972738005336082e-01 -8.006645832912485661e-01 4.802226315327052797e-01 6.080542557009188442e+00 4.526199809436810551e-01 -8.280947734319556164e-02 -5.835511000000000058e+04
2.219436197758483331e+00 2.258913632825658269e+00 8.180515902076055390e-01 1.180922494501284599e+09 8.660542169353544040e+00 1.391534020761574786e-01 8.577348161447821973e-01 2.803573074456130687e+00 6.055872673076086343e+00 5.385453141246313580e-01 4.273329875465174954e-01 -5.835504000000000087e+04
3.840433186769931506e+00 2.485388014710310234e-01 1.089167782247172145e+00 1.180922494490619898e+09 8.624526933547146612e+00 2.251858224891093996e-01 -6.552389702724719101e-01 2.735043178211028270e+00 5.370656160157500913e+00 3.287057067456617410e-01 9.352011228331080783e-01 -5.835498999999999796e+04
