# [(2, 2), (2, 1), (3, 3), (3, 2), (3, 1), (4, 4), (4, 3), (4, 2), (4, 1), (5, 5)]
4.788267200105389421e-04 1.175083774572760476e-04 2.242096748502619974e-04 3.634275923242169526e-04 1.921060220276826769e-04 1.253077283822623400e-04 1.085540786911254330e-03 5.671927535595422398e-04 3.227290416230044201e-05 2.327451821811932220e-04 1.601916419713189654e-03
4.001840018198365989e-03 2.291094448823915997e-03 2.956855726043983168e-04 2.023948767724270681e-03 1.287259515299066237e-03 2.234572001886814263e-04 4.758556871149455247e-03 3.275072452781468968e-03 1.132178247915338609e-03 3.740832151259976257e-04 8.621247615134275399e-03
1.551327782523426180e-03 2.089126250984785216e-04 2.862326533562553621e-04 2.649350652779158821e-04 1.936376856492838527e-04 6.913812144759834410e-05 5.241636661054149826e-04 3.618540013219373463e-04 1.285149758373238527e-04 2.116811156533948690e-04 1.316566846574107608e-03
4.261443277019383302e-04 1.116241892706870686e-05 8.206357222095839177e-06 5.295802861049470067e-05 5.341575410777732458e-05 6.859699630323845554e-06 2.586778653281829321e-04 1.688983102375862799e-04 3.818285317513936405e-05 1.090032057471379545e-05 9.944772390596545719e-04
6.680932579344878164e-04 1.713525948119354325e-04 2.579194536067586085e-05 1.010126798252075631e-04 1.551949391924711819e-04 1.685421306019119214e-05 3.848657757447027095e-04 3.259078384483249380e-04 9.253522547536530141e-05 5.618849670074865799e-05 9.151634704644973084e-04
2.683847098049474411e-03 1.815689979269841103e-04 8.357182088128967123e-04 5.212078983602985716e-04 1.512759567148247442e-04 1.697995187958101226e-04 4.522314583129682930e-04 2.102564359284242457e-04 6.996093955802251685e-05 3.538100138200661604e-04 5.176830585513991778e-03
4.806903389819039418e-04 1.568565941919564111e-04 1.666384995868686048e-05 1.000543987561552939e-05 4.558950203636946696e-05 5.843860994336758097e-06 7.865136660245575229e-05 1.727461402337704399e-04 1.202764636987208036e-05 2.146254744128661684e-05 2.355607809634285843e-04
2.199432368062970156e-04 2.071577927331702540e-05 5.173992409401861892e-06 2.918622878178567248e-05 3.071888590311377953e-05 3.428825271933888530e-06 7.531626563184179446e-05 8.045229734010561629e-05 2.444686740021850824e-05 4.452790821618535233e-06 2.150565467819998133e-04
2.069269610360802147e-03 1.950676314078636508e-04 4.188569981855572166e-06 5.231704992780805696e-06 4.244901259720101905e-06 1.207103656253316615e-06 1.165657721013957371e-05 2.036332383836825244e-05 3.341102560616704409e-06 1.726515866051769876e-06 2.189295088139697754e-05
1.156083820736730772e-03 2.260308351831330498e-04 8.310371489073098417e-06 4.249423756341741409e-05 3.449504850661089250e-05 7.890580288605342218e-06 7.027203355602917867e-05 8.203006599027951040e-05 2.167979077860593407e-05 2.524640484846685240e-05 1.366076312714348262e-04
