# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
4.238298944197119944e+00 1.641231287920555115e-01 -1.140371802691060754e+00 1.185389807294112682e+09 6.559535749258930082e+01 7.510291817097088929e-01 -8.898365350455639256e-01 2.275230109431688241e+00 8.789008431149090583e+00 6.324499845309562440e-01 5.457216494250242134e-01 -1.033443000000000029e+04
2.979359639285697803e+00 5.240097980284828871e+00 -1.058831559125945176e+00 1.185389807289527893e+09 5.803333713252087733e+01 7.163056582131934746e-01 -9.738159900136884595e-01 2.160940781647548992e+00 8.621439164949771694e+00 2.395775600905289682e-01 1.364122417510801877e-01 -1.033370999999999913e+04
4.396864674421672170e+00 2.128212681079439061e+00 3.347112105178173258e-01 1.185389807326426744e+09 6.836275629142528487e+01 4.956811034346415568e-01 -8.203325320263412657e-01 3.086631027658244264e+00 8.386218721440641843e+00 7.971284781349350368e-01 1.863622137187981587e-01 -1.033292000000000007e+04
4.255047897418394065e+00 2.297248143113405305e+00 4.851573777564852641e-01 1.185389807327367783e+09 6.279022477750744713e+01 4.492788615935290886e-01 4.899510486121084751e-01 2.245005061444282468e+00 7.797451698641105544e+00 4.893104601676258048e-01 7.487801121875856669e-01 -1.033118000000000029e+04
2.517303159780550637e+00 2.998786028695041850e+00 8.252910691216175376e-01 1.185389807320827007e+09 6.620205699407532052e+01 7.559715869679752842e-01 6.180078453885685663e-01 1.678911416190049133e+00 8.365930497434627355e+00 7.721848310634921164e-01 5.995324901700866543e-02 -1.032977000000000044e+04
1.186244241672865241e-03 2.012996484299908850e+00 -4.877853931304101248e-02 1.185389807326867580e+09 6.379604740554079712e+01 9.326409256171978024e-01 8.138226204885254944e-01 1.788528306868998996e+00 8.577994694817100196e+00 5.242092615913703790e-01 7.216665313040424579e-01 -1.032961000000000058e+04
1.743358156439020812e+00 2.988512112714837077e+00 9.352835068960790865e-01 1.185389807323288679e+09 7.332533203592781490e+01 8.584500905677184823e-01 8.469543427369924382e-01 2.424977055730350273e+00 8.866715712066602251e+00 6.191501984201835951e-01 7.544807514156877115e-01 -1.032945999999999913e+04
5.094221581846820612e+00 4.360714786278902522e-01 -1.230613753312865599e+00 1.185389807290263176e+09 6.792417692054340250e+01 7.803100166884340272e-01 -4.716155856493909893e-01 4.981934209437877681e-01 7.891932665515404288e+00 6.161382913969574160e-01 2.036870051236684964e-01 -1.032938999999999942e+04
5.780009245559732278e+00 2.704264098480832157e+00 8.718810199995442600e-01 1.185389807332085609e+09 6.682484246296699837e+01 7.679493620091567552e-01 -8.240426611777337262e-01 6.554591851106976452e-02 8.688274748393888913e+00 7.582764696058182929e-01 6.687998849657347256e-01 -1.032931999999999971e+04
5.764884501079981405e+00 2.399988519260807251e+00 5.057523897449102135e-01 1.185389807328525066e+09 7.169449559374834280e+01 7.723327188170545643e-01 7.056708530708224458e-01 1.012641759768197147e+00 8.565166624897212699e+00 6.871608734329689439e-01 6.786890036447900121e-01 -1.032917000000000007e+04
