# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
1.222257937732373900e+00 1.694467046554775758e+00 1.140529549460060688e+00 1.180922494499775887e+09 8.492012652723444077e+00 2.598063096757613488e-01 8.908416474848612765e-01 1.759682537251598289e+00 6.172448801769033544e+00 3.169218500877979405e-01 2.009079573045276512e-01 -1.407542000000000007e+04
3.660237056372853459e+00 2.220158228138240375e+00 1.232084760372452736e+00 1.180922494501195192e+09 8.666713049217145581e+00 1.514579357225890044e-01 -6.626406885519657841e-01 1.469734212016142516e+00 6.069584334704033246e+00 5.084447483582644756e-01 6.729117049748892798e-01 -1.407494000000000051e+04
5.562483050635666615e+00 2.099448500441558618e+00 1.191131590347898284e+00 1.180922494500616312e+09 8.589548770720394799e+00 1.556394147276991269e-01 -8.737046087448395726e-01 1.016417852323017179e+00 6.349926297494556948e+00 4.597407331587554657e-01 5.851603936208668033e-01 -1.407482999999999993e+04
5.689720599157294778e+00 1.967365359649426715e+00 1.059174960433294288e+00 1.180922494501712322e+09 8.592797937954072651e+00 2.527587658666795578e-01 8.930241852280969006e-01 9.466709021730334017e-01 6.083135713684522550e+00 3.325477027003405639e-01 5.384347481012062842e-01 -1.407442000000000007e+04
5.827601685602693316e+00 2.151262823137366276e+00 6.856967630328896224e-01 1.180922494502887011e+09 8.633974077574475103e+00 1.425672090017402471e-01 -7.887279463346382746e-01 1.107461345310902789e-01 5.886007275341929912e+00 5.780116618477827428e-01 5.113409721880601833e-02 -1.407393000000000029e+04
1.904969149346895207e+00 1.270511351046815562e+00 1.428059795035496071e+00 1.180922494498160124e+09 8.477089017286221662e+00 6.512189419052869521e-01 -3.414474506541962939e-01 9.730336595806082789e-01 5.443114185187290843e+00 5.549648204653381128e-02 2.242842033160851248e-02 -1.407360000000000036e+04
2.351116418652259732e+00 2.175732313192928924e+00 1.102206146583982749e+00 1.180922494502886534e+09 8.506598912991588435e+00 3.470537148409463257e-01 -9.375989641247569617e-01 1.994802026664198147e+00 6.351488347129147449e+00 2.779178055034658423e-01 7.838837397443360056e-02 -1.407360000000000036e+04
3.917302433439805665e+00 2.358899341061214017e+00 1.012745550313469911e+00 1.180922494502052546e+09 8.472726351213561102e+00 2.143748842784564956e-01 -9.901680160743577819e-01 2.648451011464475702e+00 6.322331716713764038e+00 2.861055471645014281e-01 6.342281051995997121e-01 -1.407345000000000073e+04
3.464917610775843038e+00 2.222080812915226744e+00 6.692813816835710972e-01 1.180922494503535271e+09 8.599344051099862440e+00 9.859682576707698987e-01 -4.204553897651591154e-01 2.210405890330816803e+00 5.747395011242987017e+00 1.130866320330488062e-01 1.164023101543899957e-01 -1.407307999999999993e+04
4.037803795314047761e+00 2.231621294064564331e+00 6.635882907943251308e-01 1.180922494503052711e+09 8.641355590360992878e+00 7.042325810763337968e-01 -9.166998094702265565e-01 2.837174606787407960e+00 6.162935221508063499e+00 2.482360900489851696e-01 4.183445640080041272e-02 -1.407306999999999971e+04
2.125025562753739550e+00 2.311104940247223904e+00 7.457031190241725227e-01 1.180922494504192352e+09 8.632968307787839635e+00 3.543729795783717718e-01 9.531343052642108349e-01 2.685289805433097143e+00 6.113966231419838415e+00 3.139546538403982789e-01 2.268077454557919648e-01 -1.407304999999999927e+04
1.558515953558180733e+00 1.967981267708276638e+00 1.161753547645725249e+00 1.180922494501806974e+09 8.573667354334428836e+00 4.278882790856757268e-01 -6.720582750730806909e-01 8.663890068113263565e-01 5.914368119188134543e+00 2.063724548485135202e-01 2.013817419463570513e-01 -1.407295000000000073e+04
1.961853475895703358e+00 2.287309339722728208e+00 1.109570093275517699e+00 1.180922494501277447e+09 8.620334842655218210e+00 2.981944253127821742e-01 -4.101572998628638111e-01 2.303751806845920402e+00 5.741500312561788277e+00 2.476495998486180627e-01 6.526454133296146765e-01 -1.407250000000000000e+04
