# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
3.518357459142160693e-01 1.435030036826975941e+00 -3.925571506654129128e-01 1.167559936593981743e+09 3.248867664298389002e+01 7.080378160566872525e-01 -8.641592071111502404e-01 1.195867117366609778e+00 6.953940750570688500e+00 2.676557568067465254e-01 6.743001236221372041e-01 -7.711850999999999658e+03
6.043288231265275812e+00 2.231856688121306664e+00 7.285334758910150255e-01 1.167559936614262819e+09 3.063660030593788619e+01 9.826548185100353328e-01 -5.280465226525031808e-01 5.523025147240153698e-01 7.395768934821583152e+00 2.045027333582964402e-01 3.763742968980764991e-01 -7.710229999999999563e+03
3.413814174139734092e+00 7.823082205899259955e-01 -7.427070440867247214e-01 1.167559936581101179e+09 2.756380017861433274e+01 5.060365318259670842e-01 -8.995522234963888586e-01 1.693188893571955012e+00 7.300816590261606009e+00 1.788501493700038192e-01 9.439046882220505919e-02 -7.709587999999999738e+03
5.852486013510529439e-01 4.677368601290588512e-01 -7.476712338655137069e-01 1.167559936577095747e+09 3.031685983585628463e+01 5.873463247687028543e-01 -7.009311193127879536e-01 1.925623312860532232e+00 7.204375240887387122e+00 3.560567790863651827e-01 4.182161761606084660e-01 -7.709530999999999949e+03
4.106947471420466123e+00 2.149357259699349765e+00 5.434678160540823422e-01 1.167559936613229036e+09 2.716920846482500096e+01 6.025064104337238824e-01 7.582266697719833859e-01 2.905594531880506093e+00 7.326409732091131666e+00 7.031652518423667231e-02 6.318372177839585990e-02 -7.709356999999999971e+03
4.887420112035369968e+00 5.838338844082631596e+00 -1.952294620669994540e-01 1.167559936576188087e+09 3.158424755377452442e+01 9.084444376480246275e-01 -5.360820430802238912e-01 3.246438023455118227e-01 7.192374426112985830e+00 4.527456687142138447e-01 2.577202683473698297e-01 -7.708722999999999956e+03
3.355163742314790198e+00 5.951480647952939407e+00 -3.000318156092708910e-01 1.167559936575427055e+09 2.895380686447408181e+01 7.930493099591277018e-01 6.491987645675489915e-01 1.761290330163804541e+00 7.330416311703832122e+00 1.948745021164347835e-01 2.769792543971542065e-01 -7.708653000000000247e+03
5.481640764180069070e+00 5.964670118621233641e+00 -2.960232639403830301e-01 1.167559936574434757e+09 2.297658748921895366e+01 2.181760101664349527e-01 9.040197977591324374e-01 2.289412470442470315e+00 7.051034227427976475e+00 1.229183672156421853e-01 4.027446877086691135e-01 -7.708591000000000349e+03
1.468881600778402519e-01 2.459246893734907680e+00 9.573459737812269887e-01 1.167559936614952087e+09 2.947833736692327733e+01 7.665755220242563839e-01 8.348586263570649812e-01 1.387382310965698418e+00 7.642849094403315391e+00 1.987835061156512095e-01 4.323014175899596023e-01 -7.708298999999999978e+03
4.573307610294723879e+00 1.672892706746158309e+00 -1.236627207262462197e-01 1.167559936602513790e+09 3.162886349219300186e+01 9.458081472459367589e-01 -8.642766161474511044e-01 1.372189931823917020e+00 7.081118838243080305e+00 2.766015423806248985e-01 7.426160653549657154e-01 -7.708086000000000240e+03
4.099444652382089771e+00 2.410347258152295780e+00 1.094071137670747484e+00 1.167559936615728855e+09 3.021777297642045568e+01 7.393318632325664996e-01 -6.689478086244360355e-01 1.033611683918531865e+00 7.220518153100387693e+00 3.478668596172020955e-01 4.016970957194044844e-01 -7.707757999999999811e+03
5.593733977622782128e+00 2.209953311723038549e+00 6.866978707715624131e-01 1.167559936614373684e+09 3.281347731225711328e+01 7.046032268495756590e-01 8.648953285549516590e-01 2.131780322897394164e+00 7.567532159532277092e+00 7.938839309621174012e-01 1.570745648379300030e-01 -7.707488999999999578e+03
2.801361078839468721e+00 6.079988891187946720e+00 -4.200432755551943287e-01 1.167559936573541880e+09 2.603136787694334586e+01 3.030877038007963042e-01 9.697920628696544698e-01 1.176674913441013270e+00 7.349344074736133159e+00 1.716322189081510297e-01 3.557420360153870642e-02 -7.707405999999999949e+03
