0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.277919492227206227e-05 4.401021289308658976e-05 -4.443178031360730358e-05 -4.355114259179815458e-05 -6.257109617967710488e-05 8.215953616332189455e-05 1.157627332799804988e-04 -3.763924827522344927e-05 -7.780027754512139460e+00
-4.555523426151688254e-05 8.798736348109287687e-05 -8.880973472826230331e-05 -8.703268159340984858e-05 -1.250207043937330857e-04 1.641082455809917350e-04 2.311934610956257997e-04 -7.510361299957381970e-05 -1.555903459521578291e+01
-6.832811670465257473e-05 1.319314314036395988e-04 -1.331338286008089931e-04 -1.304448677644762559e-04 -1.873457473184139688e-04 2.458537585041991528e-04 3.462803700528070531e-04 -1.124408339822583077e-04 -2.333702011422188605e+01
-9.109784094037434146e-05 1.758423960266417929e-04 -1.774040345885440626e-04 -1.737875818980073265e-04 -2.495472289804872689e-04 3.273935389139323473e-04 4.610275809062118349e-04 -1.496349983377857830e-04 -3.111398390543582337e+01
-1.138644056500333183e-04 2.197202366939647112e-04 -2.216203234254177231e-04 -2.170607994835829454e-04 -3.116251270288292402e-04 4.087275700549912807e-04 5.754351128652469968e-04 -1.866860551352277173e-04 -3.888992556010290258e+01
-1.366278095087519739e-04 2.635649324837161509e-04 -2.657826653471943835e-04 -2.602644935650021423e-04 -3.735794088651166450e-04 4.898559103764627779e-04 6.895030592537705659e-04 -2.235942814953468627e-04 -4.666484466782132046e+01
-1.593880512144347920e-04 3.073764631671006939e-04 -3.098910318105171837e-04 -3.033986398212328039e-04 -4.354100697694266798e-04 5.707785188372113423e-04 8.032315468750559359e-04 -2.603596499952463123e-04 -5.443874082480672882e+01
-1.821451294334916872e-04 3.511548075310152073e-04 -3.539453926571419222e-04 -3.464632129154598733e-04 -4.971170533150231228e-04 6.514954139302255812e-04 9.166204891926667785e-04 -2.969820744929695697e-04 -6.221161361820803393e+01
-2.048990428460854623e-04 3.948999450670765050e-04 -3.979457188853239083e-04 -3.894581847338221764e-04 -5.587003512632885034e-04 7.320067053724982559e-04 1.029670168614238131e-03 -3.334619003452546338e-04 -6.998346263864513617e+01
-2.276497901280073624e-04 4.386118547472215071e-04 -4.418919805841156167e-04 -4.323835313311191818e-04 -6.201599579931975836e-04 8.123122313997905349e-04 1.142380549393722921e-03 -3.697993114405339807e-04 -7.775428747620034642e+01
-2.503973699682585791e-04 4.822905162493912909e-04 -4.857841491563394160e-04 -4.752392271265136361e-04 -6.814958287694694540e-04 8.924121513527084491e-04 1.254751804948365254e-03 -4.059935949500089640e-04 -8.552408772423694927e+01
-2.731417810252048163e-04 5.259359082646767377e-04 -5.296221943500472240e-04 -5.180252454344725244e-04 -7.427079285915875236e-04 9.723063935335909524e-04 1.366783820162088521e-03 -4.420456104950361569e-04 -9.329286296735237727e+01
-2.958830219791895588e-04 5.695480101789084050e-04 -5.734060869134538019e-04 -5.607415619644528539e-04 -8.037962708286327000e-04 1.051994984895628050e-03 1.478476824325562723e-03 -4.779553681465781236e-04 -1.010606127964820473e+02
-3.186210915045853192e-04 6.131268011097298475e-04 -6.171357974094250501e-04 -6.033881489305671555e-04 -8.647607982485206769e-04 1.131477914146241217e-03 1.589830908310185288e-03 -5.137228553248653897e-04 -1.088273368010044351e+02
