# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
2.067286729724173711e+00 4.822659078471216887e+00 -1.856872722211154181e-01 1.185389807288354397e+09 6.898670897397131796e+01 5.263659517612633287e-01 -6.258876789763587745e-01 1.737164847503920528e+00 8.287057608229781991e+00 6.901286089543915425e-01 4.496322885211070930e-01 -1.032962999999999920e+04
9.618584247937235210e-01 1.477570027470043179e-01 -1.125981539675206200e+00 1.185389807293367624e+09 5.792489604561578176e+01 5.015165003864172633e-01 -7.882969248418846275e-01 2.772439653102282797e+00 8.060267663851933051e+00 3.127804818821733335e-01 1.081091860854981601e-01 -1.032960000000000036e+04
2.529788940723239232e+00 5.273259598917104718e+00 -9.543276134084121010e-01 1.185389807290712357e+09 6.333477982919568205e+01 8.856271857878414977e-01 9.481697469305654380e-01 2.981742275788549890e+00 9.006296342030232438e+00 7.102578950438357408e-01 1.715861636100446674e-01 -1.032951000000000022e+04
1.556498656342266029e+00 4.919159550070121512e+00 -7.162782293963604330e-01 1.185389807294883013e+09 4.782786587999852657e+01 5.153372602695530658e-01 -8.575622412979706510e-01 2.461510645048738066e+00 8.095606677736920886e+00 2.982839260986415164e-01 5.024142486018666753e-01 -1.032951000000000022e+04
2.228045182162000426e+00 2.340819366650191746e+00 5.205656487881344940e-01 1.185389807332442760e+09 5.641873850885676234e+01 7.498902526088588871e-01 7.999671797547859287e-01 5.049168729345192563e-01 8.368546887192202632e+00 6.391675027448415758e-01 2.125667311551315830e-02 -1.032946999999999935e+04
5.597618214034975281e+00 4.785194277627503823e+00 -3.392234441520903254e-01 1.185389807293390512e+09 5.788869877410439102e+01 5.303027680829635049e-01 9.215577634780361960e-01 3.140042574783681317e+00 8.390707529212773963e+00 4.395615570256048987e-01 6.580289335631527292e-01 -1.032938999999999942e+04
4.058690203847602262e+00 2.240113123941030793e+00 5.060215833448734601e-01 1.185389807330128431e+09 7.084387436623120493e+01 8.014833710107177600e-01 -7.215267219708209057e-01 2.294649594766795975e+00 8.519910538202761785e+00 7.621357144600076072e-01 5.246965505636888016e-01 -1.032920000000000073e+04
4.219148274105261609e-01 5.181678440648389561e+00 -7.781235249343660954e-01 1.185389807290538549e+09 6.718207598872767505e+01 9.755923102637431565e-01 9.047295575697558156e-01 2.538038609033263615e+00 8.778189244697335525e+00 6.555166667839608108e-01 6.297786045847070246e-01 -1.032898999999999978e+04
4.675817715750832271e+00 5.146773027615551221e+00 -6.186712714946196456e-01 1.185389807288179874e+09 6.094811407609481790e+01 7.984950758801365733e-01 5.586808949518194956e-01 2.942832685111335667e-01 8.264856388733656800e+00 1.849805407486304898e-01 4.667178346700781022e-01 -1.032893000000000029e+04
2.008410911097514351e+00 3.984195520523510670e+00 6.968495237399477960e-01 1.185389807314000368e+09 6.247193736116911111e+01 4.928056304057405468e-01 -9.851959501499352179e-01 1.509493905571491545e+00 8.190548342549821115e+00 7.194354257871905522e-01 1.176829959080499532e-01 -1.032875000000000000e+04
5.336088791508362128e+00 2.998332904648368658e+00 8.993890915013165177e-01 1.185389807323853016e+09 6.558639508640399640e+01 7.827335589271998684e-01 8.783341991445805519e-01 2.141130180618762591e+00 8.525562639602515702e+00 6.979994969377325553e-01 2.056501653034112920e-01 -1.032875000000000000e+04
3.843555759754492929e+00 5.104226885292066918e+00 -6.551546824481533360e-01 1.185389807289075851e+09 5.966781607954271749e+01 5.103921406909230907e-01 5.964301849658920629e-01 2.315407970825951622e+00 8.692171445386954076e+00 7.681758315779350088e-01 2.119256465299239334e-01 -1.032871999999999935e+04
5.973083589430556728e-01 5.994271430781827448e+00 -1.116820286405303397e+00 1.185389807289111614e+09 5.792323871024157711e+01 3.854698686113523509e-01 9.350593428002704766e-01 3.578906247480620473e-01 8.438811729524378080e+00 4.215126627047339758e-01 5.796327431043820644e-01 -1.032865999999999985e+04
3.727261930698920978e+00 2.428659529508620629e+00 5.640433388725349939e-01 1.185389807323425770e+09 6.780119532043100605e+01 6.438910114024926079e-01 4.106338847680133242e-01 3.050081739529970193e+00 8.195880672715858850e+00 4.935898350186137540e-01 6.677584300078638346e-01 -1.032862999999999920e+04
3.725606292492966709e+00 2.822974435951915995e-01 -1.210723989025569658e+00 1.185389807295968771e+09 5.592470188469140879e+01 7.968797832497905853e-01 -9.639167939088602033e-01 1.490365118383931931e+00 8.212696784039112075e+00 1.845663470979331811e-01 3.103930890323283731e-01 -1.032859000000000015e+04
4.540309581184803100e+00 5.012783754048611762e+00 -2.725492315178918434e-01 1.185389807289325714e+09 5.767641627738376542e+01 3.665342326258037020e-01 8.780775726112255430e-01 2.996141981020690181e-01 8.002309832648613508e+00 4.685473498196409126e-01 4.776311628449699809e-01 -1.032852000000000044e+04
2.168311293278688545e+00 2.144398494692400625e+00 1.725207295651754458e-01 1.185389807329885721e+09 5.448565907663861907e+01 5.908234670484887596e-01 9.272337079207646493e-01 2.940203488972885637e+00 8.258759074623348795e+00 1.699185741219745305e-01 5.812125266681373859e-01 -1.032852000000000044e+04
1.325670355867329731e+00 1.840527925023069500e+00 -2.617255775867464163e-01 1.185389807328695774e+09 4.724720201680524667e+01 8.302705314676898096e-01 7.161801292323579649e-01 1.823408534501165024e+00 7.753749949549934684e+00 7.337454387221410690e-02 5.367307350023360346e-01 -1.032851000000000022e+04
3.574206517589000875e-01 3.257560677876786936e+00 9.463680581988906937e-01 1.185389807324920654e+09 5.670765112762906313e+01 9.688520315877973133e-01 -6.392005870698763692e-01 1.922722400578740887e+00 8.083654201674521644e+00 2.536625437211467160e-01 9.301239407991798713e-02 -1.032850000000000000e+04
5.641837868406584633e+00 4.981950644458142285e+00 -2.983509784882716342e-01 1.185389807296328306e+09 6.037124952797598354e+01 8.615908745582516737e-01 -3.945106462017748394e-01 5.510456968646071374e-01 8.357591194974885340e+00 3.919604921242026974e-01 6.680700291247074762e-01 -1.032847999999999956e+04
3.323039754114665012e+00 2.475997181657105362e+00 6.568578694362340320e-01 1.185389807328131437e+09 6.125495936916600925e+01 7.025696170716845268e-01 9.118728253085208735e-01 8.059099906556262960e-01 8.752300418123134307e+00 2.764251204516487426e-01 6.399936157436268980e-01 -1.032837999999999920e+04
1.469859078834953925e+00 2.182526610162141889e+00 3.242038729912278261e-01 1.185389807327351570e+09 5.971354508919461068e+01 6.599171901038078936e-01 -9.554459993684082386e-01 2.812469495462250446e+00 8.604565468290006791e+00 4.330375904812889254e-01 3.912607441497092386e-01 -1.032835000000000036e+04
2.346747087815692190e+00 2.253956258245473521e+00 4.744957981364392730e-01 1.185389807328474045e+09 6.173364349642102411e+01 7.574552292651309804e-01 -6.348407415788798192e-01 2.937664618328340804e+00 8.666079672354973340e+00 4.917194191850045581e-01 7.795267426223649876e-01 -1.032828000000000065e+04
6.167004052812637305e+00 5.066528944546898394e+00 -6.291080490061448094e-01 1.185389807289417982e+09 6.421024745018391400e+01 6.361466566242490739e-01 -8.925516223269216454e-01 1.901963186444935783e+00 8.411992440382560332e+00 5.765350708352461329e-01 3.462824011310316474e-01 -1.032822999999999956e+04
5.767034380649395331e+00 2.831384349455142502e+00 8.233863440870962114e-01 1.185389807328077316e+09 6.484880994783350161e+01 8.595855618703894807e-01 -4.613608008227054746e-01 1.350580833218065102e+00 8.182137790536218702e+00 2.475730277689072167e-01 5.848626793317335260e-01 -1.032812000000000080e+04
5.897882556709048707e+00 2.155998875148529947e+00 2.961514549289225862e-01 1.185389807327509165e+09 5.901302468357062025e+01 6.742304301822351631e-01 -9.720445318670869472e-01 9.081870172862521740e-01 8.621656677211490205e+00 1.253071504904913203e-01 6.117852224576132425e-01 -1.032804999999999927e+04
5.493436208693403877e+00 3.496046269604691226e+00 8.539467841454390085e-01 1.185389807327741623e+09 5.258409653778711856e+01 9.721668698607933701e-01 -9.446377929331489787e-01 3.018274514957077326e+00 8.412166633231517920e+00 5.697395780764351603e-01 2.149129175987187553e-03 -1.032798999999999978e+04
4.588311625859910592e+00 5.020984256470782725e+00 -5.163478819377854689e-01 1.185389807295179605e+09 5.267315309799311507e+01 5.886150590898900914e-01 -1.934506461316959913e-01 1.852566332063589449e+00 8.000463159983286943e+00 3.754352636441561919e-01 7.197872193123844298e-01 -1.032798999999999978e+04
1.872229437909529448e+00 2.563154814915847624e+00 6.855254467166607135e-01 1.185389807327716112e+09 6.500300469668046333e+01 5.980871906303166785e-01 -9.676842622966286278e-01 4.387211364767105715e-01 8.667370683149906441e+00 4.060128983902893673e-01 7.464252549578712648e-01 -1.032788999999999942e+04
3.824822687547708266e+00 5.270279599470389265e+00 -9.564139104783446754e-01 1.185389807286546469e+09 6.237787591659846242e+01 7.473879003093110152e-01 7.709945069584791533e-01 1.121056548877608083e+00 8.062885652714493645e+00 5.321011220143869735e-01 2.101295281160736328e-01 -1.032782999999999993e+04
2.517939685412557527e+00 5.933307471352188500e+00 -1.148753524996196873e+00 1.185389807294811487e+09 5.488926625512041824e+01 4.547024105011781558e-01 9.610265692148235450e-01 3.089694851176714607e+00 8.706219983840586707e+00 6.808370813588832116e-01 1.334573234619593207e-01 -1.032777000000000044e+04
1.885786548598744616e+00 1.974024546859146190e+00 3.730765133000052969e-01 1.185389807329381943e+09 6.510516002553454484e+01 9.327854591337571000e-01 -8.157682928551152068e-01 2.245477752908355384e+00 8.540983895759238109e+00 6.336715341252026068e-01 7.552985918018687572e-01 -1.032775000000000000e+04
1.964813771337373449e+00 4.843816191669534810e+00 -3.603098853971726800e-01 1.185389807288702726e+09 6.727070452075840024e+01 5.566700407925384564e-01 -9.111476882869861127e-01 1.580430868592928473e+00 8.678973580563882351e+00 6.603525772010905293e-01 5.287287494387982179e-01 -1.032770000000000073e+04
5.441069175164577665e+00 2.743056468066661591e+00 6.383514590839911573e-01 1.185389807328154564e+09 4.259631306311265320e+01 3.224696400077120551e-01 -7.337357965095075985e-01 1.328295171678804676e-01 7.698413724159223648e+00 9.089308455791722530e-02 5.814292293677694179e-01 -1.032759000000000015e+04
4.777028950295165721e+00 4.780346549807224399e+00 -2.660604738111378431e-01 1.185389807289035320e+09 6.053941322361557553e+01 4.235135528047982434e-01 -8.928843356888837013e-01 1.630459929367551464e+00 8.162679298794227378e+00 5.130143009321197489e-01 5.749789906183809529e-02 -1.032757999999999993e+04
2.750419990245792423e+00 5.044199230172454307e+00 -6.310976806788380911e-01 1.185389807287553549e+09 6.386661864477107997e+01 4.179721586164413250e-01 9.160566228689777102e-01 2.061575799755145599e+00 8.655127397766182895e+00 7.328091957658519062e-01 2.303939581217937238e-01 -1.032756999999999971e+04
6.059702853849457505e+00 2.331360701124360446e+00 6.214719286888134020e-01 1.185389807334646940e+09 5.353401882180541094e+01 7.952825616536176589e-01 7.321692540957899231e-01 2.684880775287222576e+00 8.262677026249555468e+00 3.729793124402996374e-01 4.205683198103434273e-01 -1.032754000000000087e+04
1.386930192529381767e+00 2.440755388761734146e+00 7.812794348194966876e-01 1.185389807335442543e+09 5.280451474989875038e+01 7.220491966651393367e-01 9.922744598154730200e-01 1.700763542718513266e+00 8.812943715497713271e+00 3.622905243132488184e-01 6.869897132278628415e-01 -1.032754000000000087e+04
2.780127369634429191e-01 5.227471308779938930e+00 -6.667363682945633974e-01 1.185389807288807869e+09 6.185792684852040679e+01 6.329569761960021079e-01 9.778219061929782630e-01 2.051197425700035382e+00 8.202337706467147882e+00 6.810786345514250328e-01 8.608371615287654932e-02 -1.032751000000000022e+04
1.236732748375419355e+00 1.799480107909499305e+00 -2.972577348773918771e-01 1.185389807324932337e+09 5.626219522615554780e+01 9.797583716187555636e-01 7.145830880761711024e-01 1.366606030951859285e+00 7.955850685277615852e+00 2.420796579203696453e-01 7.612345016880497361e-01 -1.032751000000000022e+04
2.842214986579305158e+00 5.120513283239199964e+00 -7.010994719818434140e-01 1.185389807296941757e+09 5.094396236632272235e+01 5.974701825694775925e-01 -6.655541498331197792e-01 3.082608253045623581e+00 8.141839973269334507e+00 2.695173131137952871e-01 6.466669512188168989e-01 -1.032751000000000022e+04
2.366929632646761927e+00 7.439807523083915575e-01 -1.377005502990483521e+00 1.185389807297058105e+09 4.765269019137496542e+01 6.052493069324359487e-01 6.881053113394806076e-01 2.069982960282226614e+00 7.418193227152593217e+00 2.281656708085126606e-02 2.753325406723682867e-01 -1.032748999999999978e+04
5.461896529752794827e+00 2.911779795888020050e+00 9.549788756313849492e-01 1.185389807322553635e+09 5.460807031223589547e+01 3.216478229707702141e-01 8.799549337807669458e-01 1.929280023478088024e+00 8.179334098197113434e+00 4.089882886441580379e-01 7.533580670646892186e-01 -1.032748999999999978e+04
2.660003167631576071e-01 3.326518904223414008e+00 9.590667557256693510e-01 1.185389807325049877e+09 6.173287025720049570e+01 8.756365744618037628e-01 -7.886783184572978556e-01 1.833241799211974277e+00 8.479583532110813948e+00 1.611599962024569677e-01 7.616746717866303973e-01 -1.032747999999999956e+04
4.451429804531537471e+00 2.153513781024920970e+00 1.840849668150797980e-01 1.185389807325712442e+09 5.985790884803137146e+01 5.221554484853387912e-01 -9.620571043827413904e-01 2.902289260453989606e+00 8.382095315708912864e+00 5.251796818282877810e-01 1.668137371565222016e-01 -1.032746999999999935e+04
2.901969089930681811e+00 4.812456804093827145e+00 -2.963381750372899859e-01 1.185389807295667648e+09 5.857539981294084441e+01 7.817972855938293275e-01 -8.961260127707643131e-01 1.143465902915136390e+00 8.776288197347831499e+00 4.528117625003731384e-01 6.670901204519070760e-01 -1.032745999999999913e+04
4.659361134922044734e+00 2.118098720567735516e+00 1.989203502097139364e-01 1.185389807332916498e+09 5.299798445665759061e+01 9.990387266716344028e-01 -7.785501646541674869e-01 1.081636951909763944e+00 7.988984429011765087e+00 3.667951788926236412e-01 5.906481416875654089e-01 -1.032745999999999913e+04
5.115584360394244356e+00 5.270011922421573125e+00 -9.463269282815064409e-01 1.185389807284851789e+09 5.449743049592313326e+01 3.185709036023274821e-01 7.822350215973683518e-01 2.599045139220081957e+00 7.901779120404360590e+00 3.762965437176133965e-01 5.933818799473834504e-01 -1.032744000000000051e+04
7.137646862907466305e-01 2.807594603876707673e+00 8.228703487155772933e-01 1.185389807325302839e+09 7.198044400701381562e+01 7.048799482339689337e-01 -9.994904603319029190e-01 2.738706047752007322e+00 8.678954778967751693e+00 7.879638604032526139e-01 4.383622494372119149e-01 -1.032737999999999920e+04
2.943444988158558928e+00 4.981690154455625574e+00 -4.999050861928874823e-01 1.185389807294249535e+09 5.488651419963849776e+01 6.852951884633453616e-01 8.887933281410167474e-01 3.566322145092426510e-01 8.314410201938876810e+00 6.278657213139288151e-01 3.590565288204372596e-01 -1.032735000000000036e+04
